Domain Code,Domain,Reporter Country Code,Reporter Countries,Partner Country Code,Partner Countries,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
TM,Detailed trade matrix,150,Netherlands,2,Afghanistan,5910,Export Quantity,486,Bananas,2003,2003,tonnes,7,,Official data
TM,Detailed trade matrix,150,Netherlands,2,Afghanistan,5910,Export Quantity,486,Bananas,2004,2004,tonnes,3,,Official data
TM,Detailed trade matrix,150,Netherlands,2,Afghanistan,5910,Export Quantity,486,Bananas,2011,2011,tonnes,1,,Official data
TM,Detailed trade matrix,150,Netherlands,2,Afghanistan,5910,Export Quantity,486,Bananas,2012,2012,tonnes,1,,Official data
TM,Detailed trade matrix,150,Netherlands,2,Afghanistan,5922,Export Value,486,Bananas,2003,2003,1000 US$,7,,Official data
TM,Detailed trade matrix,150,Netherlands,2,Afghanistan,5922,Export Value,486,Bananas,2004,2004,1000 US$,4,,Official data
TM,Detailed trade matrix,150,Netherlands,2,Afghanistan,5922,Export Value,486,Bananas,2011,2011,1000 US$,2,,Official data
TM,Detailed trade matrix,150,Netherlands,2,Afghanistan,5922,Export Value,486,Bananas,2012,2012,1000 US$,1,,Official data
TM,Detailed trade matrix,150,Netherlands,3,Albania,5910,Export Quantity,486,Bananas,2009,2009,tonnes,0,,Official data
TM,Detailed trade matrix,150,Netherlands,3,Albania,5922,Export Value,486,Bananas,2009,2009,1000 US$,0,,Official data
TM,Detailed trade matrix,150,Netherlands,9,Argentina,5610,Import Quantity,486,Bananas,2000,2000,tonnes,1,,Official data
TM,Detailed trade matrix,150,Netherlands,9,Argentina,5610,Import Quantity,486,Bananas,2008,2008,tonnes,20,,Official data
TM,Detailed trade matrix,150,Netherlands,9,Argentina,5622,Import Value,486,Bananas,2000,2000,1000 US$,2,,Official data
TM,Detailed trade matrix,150,Netherlands,9,Argentina,5622,Import Value,486,Bananas,2008,2008,1000 US$,12,,Official data
TM,Detailed trade matrix,150,Netherlands,1,Armenia,5910,Export Quantity,486,Bananas,2010,2010,tonnes,0,,Official data
TM,Detailed trade matrix,150,Netherlands,1,Armenia,5910,Export Quantity,486,Bananas,2011,2011,tonnes,0,,Official data
TM,Detailed trade matrix,150,Netherlands,1,Armenia,5922,Export Value,486,Bananas,2010,2010,1000 US$,0,,Official data
TM,Detailed trade matrix,150,Netherlands,1,Armenia,5922,Export Value,486,Bananas,2011,2011,1000 US$,0,,Official data
TM,Detailed trade matrix,150,Netherlands,11,Austria,5610,Import Quantity,486,Bananas,2001,2001,tonnes,21,,Official data
TM,Detailed trade matrix,150,Netherlands,11,Austria,5610,Import Quantity,486,Bananas,2011,2011,tonnes,4757,,Official data
TM,Detailed trade matrix,150,Netherlands,11,Austria,5610,Import Quantity,486,Bananas,2012,2012,tonnes,3137,,Official data
TM,Detailed trade matrix,150,Netherlands,11,Austria,5610,Import Quantity,486,Bananas,2013,2013,tonnes,538,,Official data
TM,Detailed trade matrix,150,Netherlands,11,Austria,5622,Import Value,486,Bananas,2001,2001,1000 US$,20,,Official data
TM,Detailed trade matrix,150,Netherlands,11,Austria,5622,Import Value,486,Bananas,2011,2011,1000 US$,1801,,Official data
TM,Detailed trade matrix,150,Netherlands,11,Austria,5622,Import Value,486,Bananas,2012,2012,1000 US$,1968,,Official data
TM,Detailed trade matrix,150,Netherlands,11,Austria,5622,Import Value,486,Bananas,2013,2013,1000 US$,170,,Official data
TM,Detailed trade matrix,150,Netherlands,11,Austria,5910,Export Quantity,486,Bananas,2000,2000,tonnes,44,,Official data
TM,Detailed trade matrix,150,Netherlands,11,Austria,5910,Export Quantity,486,Bananas,2001,2001,tonnes,47,,Official data
TM,Detailed trade matrix,150,Netherlands,11,Austria,5910,Export Quantity,486,Bananas,2002,2002,tonnes,14,,Official data
TM,Detailed trade matrix,150,Netherlands,11,Austria,5910,Export Quantity,486,Bananas,2003,2003,tonnes,142,,Official data
TM,Detailed trade matrix,150,Netherlands,11,Austria,5910,Export Quantity,486,Bananas,2004,2004,tonnes,44,,Official data
TM,Detailed trade matrix,150,Netherlands,11,Austria,5910,Export Quantity,486,Bananas,2005,2005,tonnes,246,,Official data
TM,Detailed trade matrix,150,Netherlands,11,Austria,5910,Export Quantity,486,Bananas,2006,2006,tonnes,2346,,Official data
TM,Detailed trade matrix,150,Netherlands,11,Austria,5910,Export Quantity,486,Bananas,2007,2007,tonnes,974,,Official data
TM,Detailed trade matrix,150,Netherlands,11,Austria,5910,Export Quantity,486,Bananas,2008,2008,tonnes,651,,Official data
TM,Detailed trade matrix,150,Netherlands,11,Austria,5910,Export Quantity,486,Bananas,2009,2009,tonnes,11840,,Official data
TM,Detailed trade matrix,150,Netherlands,11,Austria,5910,Export Quantity,486,Bananas,2010,2010,tonnes,10956,,Official data
TM,Detailed trade matrix,150,Netherlands,11,Austria,5910,Export Quantity,486,Bananas,2011,2011,tonnes,15730,,Official data
TM,Detailed trade matrix,150,Netherlands,11,Austria,5910,Export Quantity,486,Bananas,2012,2012,tonnes,20438,,Official data
TM,Detailed trade matrix,150,Netherlands,11,Austria,5910,Export Quantity,486,Bananas,2013,2013,tonnes,12589,,Official data
TM,Detailed trade matrix,150,Netherlands,11,Austria,5922,Export Value,486,Bananas,2000,2000,1000 US$,56,,Official data
TM,Detailed trade matrix,150,Netherlands,11,Austria,5922,Export Value,486,Bananas,2001,2001,1000 US$,42,,Official data
TM,Detailed trade matrix,150,Netherlands,11,Austria,5922,Export Value,486,Bananas,2002,2002,1000 US$,16,,Official data
TM,Detailed trade matrix,150,Netherlands,11,Austria,5922,Export Value,486,Bananas,2003,2003,1000 US$,147,,Official data
TM,Detailed trade matrix,150,Netherlands,11,Austria,5922,Export Value,486,Bananas,2004,2004,1000 US$,51,,Official data
TM,Detailed trade matrix,150,Netherlands,11,Austria,5922,Export Value,486,Bananas,2005,2005,1000 US$,375,,Official data
TM,Detailed trade matrix,150,Netherlands,11,Austria,5922,Export Value,486,Bananas,2006,2006,1000 US$,2470,,Official data
TM,Detailed trade matrix,150,Netherlands,11,Austria,5922,Export Value,486,Bananas,2007,2007,1000 US$,1094,,Official data
TM,Detailed trade matrix,150,Netherlands,11,Austria,5922,Export Value,486,Bananas,2008,2008,1000 US$,704,,Official data
TM,Detailed trade matrix,150,Netherlands,11,Austria,5922,Export Value,486,Bananas,2009,2009,1000 US$,8723,,Official data
TM,Detailed trade matrix,150,Netherlands,11,Austria,5922,Export Value,486,Bananas,2010,2010,1000 US$,9473,,Official data
TM,Detailed trade matrix,150,Netherlands,11,Austria,5922,Export Value,486,Bananas,2011,2011,1000 US$,14141,,Official data
TM,Detailed trade matrix,150,Netherlands,11,Austria,5922,Export Value,486,Bananas,2012,2012,1000 US$,16609,,Official data
TM,Detailed trade matrix,150,Netherlands,11,Austria,5922,Export Value,486,Bananas,2013,2013,1000 US$,13433,,Official data
TM,Detailed trade matrix,150,Netherlands,52,Azerbaijan,5910,Export Quantity,486,Bananas,2008,2008,tonnes,0,,Official data
TM,Detailed trade matrix,150,Netherlands,52,Azerbaijan,5910,Export Quantity,486,Bananas,2009,2009,tonnes,0,,Official data
TM,Detailed trade matrix,150,Netherlands,52,Azerbaijan,5922,Export Value,486,Bananas,2008,2008,1000 US$,0,,Official data
TM,Detailed trade matrix,150,Netherlands,52,Azerbaijan,5922,Export Value,486,Bananas,2009,2009,1000 US$,0,,Official data
TM,Detailed trade matrix,150,Netherlands,12,Bahamas,5910,Export Quantity,486,Bananas,2004,2004,tonnes,0,,Official data
TM,Detailed trade matrix,150,Netherlands,12,Bahamas,5922,Export Value,486,Bananas,2004,2004,1000 US$,0,,Official data
TM,Detailed trade matrix,150,Netherlands,13,Bahrain,5910,Export Quantity,486,Bananas,2005,2005,tonnes,0,,Official data
TM,Detailed trade matrix,150,Netherlands,13,Bahrain,5910,Export Quantity,486,Bananas,2006,2006,tonnes,0,,Official data
TM,Detailed trade matrix,150,Netherlands,13,Bahrain,5910,Export Quantity,486,Bananas,2012,2012,tonnes,0,,Official data
TM,Detailed trade matrix,150,Netherlands,13,Bahrain,5922,Export Value,486,Bananas,2005,2005,1000 US$,0,,Official data
TM,Detailed trade matrix,150,Netherlands,13,Bahrain,5922,Export Value,486,Bananas,2006,2006,1000 US$,0,,Official data
TM,Detailed trade matrix,150,Netherlands,13,Bahrain,5922,Export Value,486,Bananas,2012,2012,1000 US$,0,,Official data
TM,Detailed trade matrix,150,Netherlands,16,Bangladesh,5910,Export Quantity,486,Bananas,2005,2005,tonnes,0,,Official data
TM,Detailed trade matrix,150,Netherlands,16,Bangladesh,5922,Export Value,486,Bananas,2005,2005,1000 US$,0,,Official data
TM,Detailed trade matrix,150,Netherlands,14,Barbados,5910,Export Quantity,486,Bananas,2005,2005,tonnes,0,,Official data
TM,Detailed trade matrix,150,Netherlands,14,Barbados,5922,Export Value,486,Bananas,2005,2005,1000 US$,0,,Official data
TM,Detailed trade matrix,150,Netherlands,57,Belarus,5610,Import Quantity,486,Bananas,2007,2007,tonnes,308,,Official data
TM,Detailed trade matrix,150,Netherlands,57,Belarus,5622,Import Value,486,Bananas,2007,2007,1000 US$,156,,Official data
TM,Detailed trade matrix,150,Netherlands,57,Belarus,5910,Export Quantity,486,Bananas,2001,2001,tonnes,0,,Official data
TM,Detailed trade matrix,150,Netherlands,57,Belarus,5910,Export Quantity,486,Bananas,2002,2002,tonnes,0,,Official data
TM,Detailed trade matrix,150,Netherlands,57,Belarus,5910,Export Quantity,486,Bananas,2004,2004,tonnes,0,,Official data
TM,Detailed trade matrix,150,Netherlands,57,Belarus,5910,Export Quantity,486,Bananas,2005,2005,tonnes,0,,Official data
TM,Detailed trade matrix,150,Netherlands,57,Belarus,5910,Export Quantity,486,Bananas,2006,2006,tonnes,18,,Official data
TM,Detailed trade matrix,150,Netherlands,57,Belarus,5910,Export Quantity,486,Bananas,2007,2007,tonnes,0,,Official data
TM,Detailed trade matrix,150,Netherlands,57,Belarus,5910,Export Quantity,486,Bananas,2008,2008,tonnes,1,,Official data
TM,Detailed trade matrix,150,Netherlands,57,Belarus,5910,Export Quantity,486,Bananas,2009,2009,tonnes,0,,Official data
TM,Detailed trade matrix,150,Netherlands,57,Belarus,5910,Export Quantity,486,Bananas,2010,2010,tonnes,0,,Official data
TM,Detailed trade matrix,150,Netherlands,57,Belarus,5910,Export Quantity,486,Bananas,2011,2011,tonnes,0,,Official data
TM,Detailed trade matrix,150,Netherlands,57,Belarus,5910,Export Quantity,486,Bananas,2012,2012,tonnes,168,,Official data
TM,Detailed trade matrix,150,Netherlands,57,Belarus,5910,Export Quantity,486,Bananas,2013,2013,tonnes,1,,Official data
TM,Detailed trade matrix,150,Netherlands,57,Belarus,5922,Export Value,486,Bananas,2001,2001,1000 US$,0,,Official data
TM,Detailed trade matrix,150,Netherlands,57,Belarus,5922,Export Value,486,Bananas,2002,2002,1000 US$,0,,Official data
TM,Detailed trade matrix,150,Netherlands,57,Belarus,5922,Export Value,486,Bananas,2004,2004,1000 US$,0,,Official data
TM,Detailed trade matrix,150,Netherlands,57,Belarus,5922,Export Value,486,Bananas,2005,2005,1000 US$,0,,Official data
TM,Detailed trade matrix,150,Netherlands,57,Belarus,5922,Export Value,486,Bananas,2006,2006,1000 US$,11,,Official data
TM,Detailed trade matrix,150,Netherlands,57,Belarus,5922,Export Value,486,Bananas,2007,2007,1000 US$,1,,Official data
TM,Detailed trade matrix,150,Netherlands,57,Belarus,5922,Export Value,486,Bananas,2008,2008,1000 US$,6,,Official data
TM,Detailed trade matrix,150,Netherlands,57,Belarus,5922,Export Value,486,Bananas,2009,2009,1000 US$,2,,Official data
TM,Detailed trade matrix,150,Netherlands,57,Belarus,5922,Export Value,486,Bananas,2010,2010,1000 US$,1,,Official data
TM,Detailed trade matrix,150,Netherlands,57,Belarus,5922,Export Value,486,Bananas,2011,2011,1000 US$,0,,Official data
TM,Detailed trade matrix,150,Netherlands,57,Belarus,5922,Export Value,486,Bananas,2012,2012,1000 US$,79,,Official data
TM,Detailed trade matrix,150,Netherlands,57,Belarus,5922,Export Value,486,Bananas,2013,2013,1000 US$,2,,Official data
TM,Detailed trade matrix,150,Netherlands,255,Belgium,5610,Import Quantity,486,Bananas,2000,2000,tonnes,94527,,Official data
TM,Detailed trade matrix,150,Netherlands,255,Belgium,5610,Import Quantity,486,Bananas,2001,2001,tonnes,93859,,Official data
TM,Detailed trade matrix,150,Netherlands,255,Belgium,5610,Import Quantity,486,Bananas,2002,2002,tonnes,86100,,Official data
TM,Detailed trade matrix,150,Netherlands,255,Belgium,5610,Import Quantity,486,Bananas,2003,2003,tonnes,100070,,Official data
TM,Detailed trade matrix,150,Netherlands,255,Belgium,5610,Import Quantity,486,Bananas,2004,2004,tonnes,88256,,Official data
TM,Detailed trade matrix,150,Netherlands,255,Belgium,5610,Import Quantity,486,Bananas,2005,2005,tonnes,80768,,Official data
TM,Detailed trade matrix,150,Netherlands,255,Belgium,5610,Import Quantity,486,Bananas,2006,2006,tonnes,78165,,Official data
TM,Detailed trade matrix,150,Netherlands,255,Belgium,5610,Import Quantity,486,Bananas,2007,2007,tonnes,49205,,Official data
TM,Detailed trade matrix,150,Netherlands,255,Belgium,5610,Import Quantity,486,Bananas,2008,2008,tonnes,54758,,Official data
TM,Detailed trade matrix,150,Netherlands,255,Belgium,5610,Import Quantity,486,Bananas,2009,2009,tonnes,54513,,Official data
TM,Detailed trade matrix,150,Netherlands,255,Belgium,5610,Import Quantity,486,Bananas,2010,2010,tonnes,87055,,Official data
TM,Detailed trade matrix,150,Netherlands,255,Belgium,5610,Import Quantity,486,Bananas,2011,2011,tonnes,69838,,Official data
TM,Detailed trade matrix,150,Netherlands,255,Belgium,5610,Import Quantity,486,Bananas,2012,2012,tonnes,38204,,Official data
TM,Detailed trade matrix,150,Netherlands,255,Belgium,5610,Import Quantity,486,Bananas,2013,2013,tonnes,37992,,Official data
TM,Detailed trade matrix,150,Netherlands,255,Belgium,5622,Import Value,486,Bananas,2000,2000,1000 US$,70461,,Official data
TM,Detailed trade matrix,150,Netherlands,255,Belgium,5622,Import Value,486,Bananas,2001,2001,1000 US$,70375,,Official data
TM,Detailed trade matrix,150,Netherlands,255,Belgium,5622,Import Value,486,Bananas,2002,2002,1000 US$,71431,,Official data
TM,Detailed trade matrix,150,Netherlands,255,Belgium,5622,Import Value,486,Bananas,2003,2003,1000 US$,88859,,Official data
TM,Detailed trade matrix,150,Netherlands,255,Belgium,5622,Import Value,486,Bananas,2004,2004,1000 US$,85267,,Official data
TM,Detailed trade matrix,150,Netherlands,255,Belgium,5622,Import Value,486,Bananas,2005,2005,1000 US$,91568,,Official data
TM,Detailed trade matrix,150,Netherlands,255,Belgium,5622,Import Value,486,Bananas,2006,2006,1000 US$,73516,,Official data
TM,Detailed trade matrix,150,Netherlands,255,Belgium,5622,Import Value,486,Bananas,2007,2007,1000 US$,51584,,Official data
TM,Detailed trade matrix,150,Netherlands,255,Belgium,5622,Import Value,486,Bananas,2008,2008,1000 US$,61520,,Official data
TM,Detailed trade matrix,150,Netherlands,255,Belgium,5622,Import Value,486,Bananas,2009,2009,1000 US$,53938,,Official data
TM,Detailed trade matrix,150,Netherlands,255,Belgium,5622,Import Value,486,Bananas,2010,2010,1000 US$,80660,,Official data
TM,Detailed trade matrix,150,Netherlands,255,Belgium,5622,Import Value,486,Bananas,2011,2011,1000 US$,68454,,Official data
